date,product,quantity,revenue
2026-07-03,Charging Cables,46,459.54
2026-07-03,Bluetooth Speakers,10,499.9
2026-07-04,Wireless Earbuds,26,779.74
2026-07-04,Phone Cases,35,524.65
2026-07-04,Charging Cables,52,519.48
2026-07-04,Bluetooth Speakers,7,349.93
2026-07-05,Wireless Earbuds,22,659.78
2026-07-05,Phone Cases,31,464.69
2026-07-05,Charging Cables,43,429.57
2026-07-05,Bluetooth Speakers,7,349.93
2026-07-06,Wireless Earbuds,21,629.79
2026-07-06,Phone Cases,27,404.73
2026-07-06,Charging Cables,32,319.68
2026-07-06,Bluetooth Speakers,6,299.94
2026-07-07,Wireless Earbuds,20,599.8
2026-07-07,Phone Cases,30,449.7
2026-07-07,Charging Cables,45,449.55
2026-07-07,Bluetooth Speakers,9,449.91
2026-07-08,Wireless Earbuds,21,629.79
2026-07-08,Phone Cases,25,374.75
2026-07-08,Charging Cables,30,299.7
2026-07-08,Bluetooth Speakers,7,349.93
2026-07-09,Wireless Earbuds,18,539.82
2026-07-09,Phone Cases,27,404.73
2026-07-09,Charging Cables,34,339.66
2026-07-09,Bluetooth Speakers,7,349.93
2026-07-10,Wireless Earbuds,27,809.73
2026-07-10,Phone Cases,35,524.65
2026-07-10,Charging Cables,44,439.56
2026-07-10,Bluetooth Speakers,7,349.93
2026-07-11,Wireless Earbuds,21,629.79
2026-07-11,Phone Cases,33,494.67
2026-07-11,Charging Cables,44,439.56
2026-07-11,Bluetooth Speakers,10,499.9
2026-07-12,Wireless Earbuds,25,749.75
2026-07-12,Phone Cases,38,569.62
2026-07-12,Charging Cables,43,429.57
2026-07-12,Bluetooth Speakers,7,349.93
2026-07-13,Wireless Earbuds,18,539.82
2026-07-13,Phone Cases,26,389.74
2026-07-13,Charging Cables,45,449.55
2026-07-13,Bluetooth Speakers,6,299.94
2026-07-14,Wireless Earbuds,22,659.78
2026-07-14,Phone Cases,25,374.75
2026-07-14,Charging Cables,40,399.6
2026-07-14,Bluetooth Speakers,7,349.93
2026-07-15,Wireless Earbuds,20,599.8
2026-07-15,Phone Cases,28,419.72
2026-07-15,Charging Cables,34,339.66
2026-07-15,Bluetooth Speakers,7,349.93
2026-07-16,Wireless Earbuds,19,569.81
2026-07-16,Phone Cases,25,374.75
2026-07-16,Charging Cables,32,319.68
2026-07-16,Bluetooth Speakers,7,349.93
2026-07-17,Wireless Earbuds,29,869.71
2026-07-17,Phone Cases,35,524.65
2026-07-17,Charging Cables,44,439.56
2026-07-17,Bluetooth Speakers,8,399.92
2026-07-18,Wireless Earbuds,29,869.71
2026-07-18,Phone Cases,35,524.65
2026-07-18,Charging Cables,43,429.57
2026-07-18,Bluetooth Speakers,9,449.91
2026-07-19,Wireless Earbuds,26,779.74
2026-07-19,Phone Cases,40,599.6
2026-07-19,Charging Cables,45,449.55
2026-07-19,Bluetooth Speakers,7,349.93
2026-07-20,Wireless Earbuds,18,539.82
2026-07-20,Phone Cases,33,494.67
2026-07-20,Charging Cables,43,429.57
2026-07-20,Bluetooth Speakers,6,299.94
2026-07-21,Wireless Earbuds,20,599.8
2026-07-21,Phone Cases,32,479.68
2026-07-21,Charging Cables,33,329.67
2026-07-21,Bluetooth Speakers,6,299.94
2026-07-22,Wireless Earbuds,22,659.78
2026-07-22,Phone Cases,27,404.73
2026-07-22,Charging Cables,36,359.64
2026-07-22,Bluetooth Speakers,6,299.94
2026-07-23,Wireless Earbuds,22,659.78
2026-07-23,Phone Cases,32,479.68
2026-07-23,Charging Cables,37,369.63
2026-07-23,Bluetooth Speakers,7,349.93
2026-07-24,Wireless Earbuds,21,629.79
2026-07-24,Phone Cases,34,509.66
2026-07-24,Charging Cables,41,409.59
2026-07-24,Bluetooth Speakers,7,349.93
2026-07-25,Wireless Earbuds,24,719.76
2026-07-25,Phone Cases,33,494.67
2026-07-25,Charging Cables,49,489.51
2026-07-25,Bluetooth Speakers,7,349.93
2026-07-26,Wireless Earbuds,26,779.74
2026-07-26,Phone Cases,33,494.67
2026-07-26,Charging Cables,43,429.57
2026-07-26,Bluetooth Speakers,9,449.91
2026-07-27,Wireless Earbuds,22,659.78
2026-07-27,Phone Cases,32,479.68
2026-07-27,Charging Cables,36,359.64
2026-07-27,Bluetooth Speakers,6,299.94
2026-07-28,Wireless Earbuds,21,629.79
2026-07-28,Phone Cases,29,434.71
2026-07-28,Charging Cables,37,369.63
2026-07-28,Bluetooth Speakers,6,299.94
2026-07-29,Wireless Earbuds,22,659.78
2026-07-29,Phone Cases,29,434.71
2026-07-29,Charging Cables,47,469.53
2026-07-29,Bluetooth Speakers,8,399.92
2026-07-30,Wireless Earbuds,20,599.8
2026-07-30,Phone Cases,27,404.73
2026-07-30,Charging Cables,31,309.69
2026-07-30,Bluetooth Speakers,6,299.94
2026-07-31,Wireless Earbuds,27,809.73
2026-07-31,Phone Cases,39,584.61
2026-07-31,Charging Cables,41,409.59
2026-07-31,Bluetooth Speakers,7,349.93
2026-08-01,Wireless Earbuds,21,629.79
2026-08-01,Phone Cases,34,509.66
2026-08-01,Charging Cables,40,399.6
2026-08-01,Bluetooth Speakers,7,349.93
2026-08-02,Wireless Earbuds,24,719.76
2026-08-02,Phone Cases,34,509.66
2026-08-02,Charging Cables,37,369.63
2026-08-02,Bluetooth Speakers,7,349.93
2026-08-03,Wireless Earbuds,27,809.73
2026-08-03,Phone Cases,25,374.75
2026-08-03,Charging Cables,32,319.68
2026-08-03,Bluetooth Speakers,8,399.92
2026-08-04,Wireless Earbuds,29,869.71
2026-08-04,Phone Cases,25,374.75
2026-08-04,Charging Cables,35,349.65
2026-08-04,Bluetooth Speakers,7,349.93
2026-08-05,Wireless Earbuds,26,779.74
2026-08-05,Phone Cases,25,374.75
2026-08-05,Charging Cables,35,349.65
2026-08-05,Bluetooth Speakers,7,349.93
2026-08-06,Wireless Earbuds,23,689.77
2026-08-06,Phone Cases,27,404.73
2026-08-06,Charging Cables,36,359.64
2026-08-06,Bluetooth Speakers,5,249.95
2026-08-07,Wireless Earbuds,27,809.73
2026-08-07,Phone Cases,33,494.67
2026-08-07,Charging Cables,45,449.55
2026-08-07,Bluetooth Speakers,7,349.93
2026-08-08,Wireless Earbuds,29,869.71
2026-08-08,Phone Cases,38,569.62
2026-08-08,Charging Cables,45,449.55
2026-08-08,Bluetooth Speakers,8,399.92
2026-08-09,Wireless Earbuds,28,839.72
2026-08-09,Phone Cases,34,509.66
2026-08-09,Charging Cables,41,409.59
2026-08-09,Bluetooth Speakers,8,399.92
2026-08-10,Wireless Earbuds,22,659.78
2026-08-10,Phone Cases,34,509.66
2026-08-10,Charging Cables,42,419.58
2026-08-10,Bluetooth Speakers,6,299.94
2026-08-11,Wireless Earbuds,21,629.79
2026-08-11,Phone Cases,25,374.75
2026-08-11,Charging Cables,40,399.6
2026-08-11,Bluetooth Speakers,6,299.94
2026-08-12,Wireless Earbuds,24,719.76
2026-08-12,Phone Cases,23,344.77
2026-08-12,Charging Cables,39,389.61
2026-08-12,Bluetooth Speakers,6,299.94
2026-08-13,Wireless Earbuds,20,599.8
2026-08-13,Phone Cases,27,404.73
2026-08-13,Charging Cables,37,369.63
2026-08-13,Bluetooth Speakers,6,299.94
2026-08-14,Wireless Earbuds,27,809.73
2026-08-14,Phone Cases,34,509.66
2026-08-14,Charging Cables,43,429.57
2026-08-14,Bluetooth Speakers,8,399.92
2026-08-15,Wireless Earbuds,32,959.68
2026-08-15,Phone Cases,26,389.74
2026-08-15,Charging Cables,43,429.57
2026-08-15,Bluetooth Speakers,8,399.92
2026-08-16,Wireless Earbuds,29,869.71
2026-08-16,Phone Cases,33,494.67
2026-08-16,Charging Cables,37,369.63
2026-08-16,Bluetooth Speakers,8,399.92
2026-08-17,Wireless Earbuds,27,809.73
2026-08-17,Phone Cases,24,359.76
2026-08-17,Charging Cables,39,389.61
2026-08-17,Bluetooth Speakers,40,1999.6
2026-08-18,Wireless Earbuds,23,689.77
2026-08-18,Phone Cases,25,374.75
2026-08-18,Charging Cables,35,349.65
2026-08-18,Bluetooth Speakers,7,349.93
2026-08-19,Wireless Earbuds,25,749.75
2026-08-19,Phone Cases,33,494.67
2026-08-19,Charging Cables,40,399.6
2026-08-19,Bluetooth Speakers,6,299.94
2026-08-20,Wireless Earbuds,28,839.72
2026-08-20,Phone Cases,29,434.71
2026-08-20,Charging Cables,39,389.61
2026-08-20,Bluetooth Speakers,6,299.94
2026-08-21,Wireless Earbuds,29,869.71
2026-08-21,Phone Cases,32,479.68
2026-08-21,Charging Cables,48,479.52
2026-08-21,Bluetooth Speakers,7,349.93
2026-08-22,Wireless Earbuds,31,929.69
2026-08-22,Phone Cases,34,509.66
2026-08-22,Charging Cables,49,489.51
2026-08-22,Bluetooth Speakers,8,399.92
2026-08-23,Wireless Earbuds,35,1049.65
2026-08-23,Phone Cases,37,554.63
2026-08-23,Charging Cables,37,369.63
2026-08-23,Bluetooth Speakers,7,349.93
2026-08-24,Wireless Earbuds,21,629.79
2026-08-24,Phone Cases,26,389.74
2026-08-24,Charging Cables,41,409.59
2026-08-24,Bluetooth Speakers,6,299.94
2026-08-25,Wireless Earbuds,22,659.78
2026-08-25,Phone Cases,25,374.75
2026-08-25,Charging Cables,36,359.64
2026-08-25,Bluetooth Speakers,5,249.95
2026-08-26,Wireless Earbuds,22,659.78
2026-08-26,Phone Cases,29,434.71
2026-08-26,Charging Cables,40,399.6
2026-08-26,Bluetooth Speakers,6,299.94
2026-08-27,Wireless Earbuds,19,569.81
2026-08-27,Phone Cases,29,434.71
2026-08-27,Charging Cables,36,359.64
2026-08-27,Bluetooth Speakers,6,299.94
2026-08-28,Wireless Earbuds,34,1019.66
2026-08-28,Phone Cases,28,419.72
2026-08-28,Charging Cables,41,409.59
2026-08-28,Bluetooth Speakers,8,399.92
2026-08-29,Wireless Earbuds,25,749.75
2026-08-29,Phone Cases,40,599.6
2026-08-29,Charging Cables,45,449.55
2026-08-29,Bluetooth Speakers,8,399.92
2026-08-30,Wireless Earbuds,28,839.72
2026-08-30,Phone Cases,37,554.63
2026-08-30,Charging Cables,49,489.51
2026-08-30,Bluetooth Speakers,7,349.93
2026-08-31,Wireless Earbuds,25,749.75
2026-08-31,Phone Cases,29,434.71
2026-08-31,Charging Cables,33,329.67
2026-08-31,Bluetooth Speakers,6,299.94
